tvg_id,epg_id_matched,source,duplicate_sources
CBSSportsGolazoNetwork.us@SD,CBSSportsGolazoNetwork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSSportsHQ.us@SD,CBSSportsHQ.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CBSSportsNetworkUSA.us@SD,CBSSportsNetworkUSA.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CelebrityNameGame.us@SD,CelebrityNameGame.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Charge.us@SD,Charge.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CheddarNews.us@SD,CheddarNews.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Choppertown.us@SD,Choppertown.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CineAdrenalina.us@SD,CineAdrenalina.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CineAmor.us@SD,CineAmor.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Cineaventura.us@SD,Cineaventura.pluto,epg-xdbezrvvbu.xml.gz,
CinePremiere.us@SD,CinePremiere.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CinePride.us@SD,CinePride.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CineRomantico.us@SD,CineRomantico.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CineSony.us@SD,CineSony.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CineTerror.us@US,CineTerror.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Cinevault80s.us@SD,Cinevault80s.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CinevaultWesterns.us@SD,CinevaultWesterns.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Circle.us@SD,Circle.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Clarity4K.us@SD,Clarity4K.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Classica.us@SD,Classica.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ClassicCinema.us@SD,ClassicCinema.us,epg-xdbezrvvbu.xml.gz,
ClassicMoviesChannel.us@SD,ClassicMoviesChannel.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ClassicMovieWesterns.us@SD,ClassicMovieWesterns.pluto,epg-xdbezrvvbu.xml.gz,
ClassicTVComedy.us@SD,ClassicTVComedy.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ClassicTVCrimeDrama.us@SD,ClassicTVCrimeDrama.pluto,epg-xdbezrvvbu.xml.gz,
ClassicTVDrama.us@SD,ClassicTVDrama.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ClassicTVFamilies.us@US,ClassicTVFamilies.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CleoTV.us@SD,CleoTV.us,epg-xdbezrvvbu.xml.gz,
CMT.us@East,CMT.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CMTEqualPlay.us@SD,CMTEqualPlay.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CMTV.us@SD,CMTV.ca,epg-xdbezrvvbu.xml.gz,
CNBC.us@SD,CNBC.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ColdCaseFiles.us@SD,ColdCaseFiles.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
ComedyCentral.us@East,ComedyCentral.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ComedyCentralenEspanol.us@SD,ComedyCentralenEspanol.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
